rank,city,country,iso3,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index,imf_inflation_2025_pct,wb_official_fx_2022_lcu_per_usd,wb_official_fx_2024_lcu_per_usd,wb_fx_change_2022_2024_pct,wb_gdp_per_capita_ppp_2024_current_intl_dollar,wb_urban_population_growth_2024_pct,snapshot_label,snapshot_retrieved_utc,notes
1,Abidjan,Ivory Coast,CIV,44,18.7,33,43.2,30.6,10.7,1,623.759700911182,606.345297609063,-2.7918448846054322,7669.23195715687,3.48999214741196,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
2,Addis Ababa,Ethiopia,ETH,42.7,19.6,32.7,45.9,22.9,12,13,51.7562150334169,82.6013363504764,59.59694173374936,3287.53492158893,4.99846973014755,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
3,Gaborone,Botswana,BWA,42.2,6.1,26.5,30.3,26.4,30.8,3.4,12.3688083333333,13.5631333333333,9.655942333436872,20538.1320178889,2.29137163491074,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
4,Pretoria,South Africa,ZAF,36.3,11.3,25.4,30.3,27.8,117.3,3.4,16.3558534845,18.3286575505,12.061761667586325,15456.1989933658,1.42147218614851,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
5,Harare,Zimbabwe,ZWE,35.7,11.4,25.1,35.1,35.7,32.5,89,374.954362604663,3266.3319125,771.1278593506834,5928.0806252756,3.29957156564359,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
6,Johannesburg,South Africa,ZAF,35.1,12.2,25.1,30.8,33.9,111.9,3.4,16.3558534845,18.3286575505,12.061761667586325,15456.1989933658,1.42147218614851,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
7,Casablanca,Morocco,MAR,34.7,13.1,25.3,35.1,28.4,43,1.2,10.1606602430359,9.94235921679198,-2.148492529248225,10415.1240234375,1.17376582878803,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
8,Cape Town,South Africa,ZAF,34.2,18.4,27.3,30.9,33.8,114.7,3.4,16.3558534845,18.3286575505,12.061761667586325,15456.1989933658,1.42147218614851,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
9,Rabat,Morocco,MAR,33.9,12.7,24.6,34.3,30.8,59.8,1.2,10.1606602430359,9.94235921679198,-2.148492529248225,10415.1240234375,1.17376582878803,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
10,Lusaka,Zambia,ZMB,33.3,9.7,23,29.4,21.8,27.5,14.2,16.9375943252989,26.1664187812257,54.48722102253998,4214.89277804799,3.78819140455858,Numbeo 2025-mid Africa regional ranking,2026-03-03T15:21:52.503Z,Country-level IMF/WB context is attached to city ranking rows.
