iso3,name,name_fr,frame,subregion,subregion_fr,internet_use_pct_2023,price_1gb_usd_2023,population_2023,population_millions_2023,latitude,longitude,map_x,map_y,internet_use_rank_2023,price_rank_1gb_2023
DZA,Algeria,Algerie,north_africa,north,Afrique du Nord,76.9081,0.73,46164219,46.164,36.7397,3.05097,-1.3082,4.1451,6,12
AGO,Angola,Angola,sub_saharan_africa,southern,Afrique australe,44.7581,1.01,36749906,36.75,-8.81155,13.242,0.568,-0.9411,21,16
BEN,Benin,Benin,sub_saharan_africa,west,Afrique de l'Ouest,32.2083,2.37,14111034,14.111,6.4779,2.6323,-1.3459,1.8178,35,36
BWA,Botswana,Botswana,sub_saharan_africa,southern,Afrique australe,81.36,1.99,2480244,2.48,-24.6544,25.9201,1.3547,-2.1845,4,34
BFA,Burkina Faso,Burkina Faso,sub_saharan_africa,west,Afrique de l'Ouest,17.0226,3.27,23025776,23.026,12.3605,-1.53395,-1.8573,2.1479,45,41
BDI,Burundi,Burundi,sub_saharan_africa,east,Afrique de l'Est,11.0784,1.1,13689450,13.689,-3.3784,29.3639,2.1173,0.1828,48,17
CPV,Cabo Verde,Cap-Vert,sub_saharan_africa,west,Afrique de l'Ouest,73.539,3.24,522331,0.522,14.9218,-23.5087,-4.6564,2.6277,8,40
CMR,Cameroon,Cameroun,sub_saharan_africa,central,Afrique centrale,41.9088,1.63,28372687,28.373,3.8721,11.5174,-0.0355,1.32,22,29
TCD,Chad,Tchad,sub_saharan_africa,central,Afrique centrale,13.1832,4.09,19319064,19.319,12.1048,15.0445,0.7064,2.5332,47,43
COM,Comoros,Comores,sub_saharan_africa,east,Afrique de l'Est,35.6678,2.18,850387,0.85,-11.6986,43.2418,3.8691,-0.9015,29,35
CIV,Cote d'Ivoire,Cote d'Ivoire,sub_saharan_africa,west,Afrique de l'Ouest,40.6528,1.18,31165654,31.166,5.332,-4.0305,-2.3379,1.5639,23,20
COD,Democratic Republic of the Congo,Republique democratique du Congo,sub_saharan_africa,central,Afrique centrale,30.548,0.52,105789731,105.79,-4.325,15.3222,1.3355,0.2429,36,4
DJI,Djibouti,Djibouti,sub_saharan_africa,east,Afrique de l'Est,65.0248,1.26,1152944,1.153,11.5806,43.1425,3.7135,2.0821,13,22
EGY,Egypt,Egypte,north_africa,north,Afrique du Nord,72.6899,0.65,114535772,114.536,30.0982,31.2461,2.117,3.937,9,8
